# Rime user dictionary
#@/db_name	flypy
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1540
#@/user_id	e1402a23-ea17-4701-81c4-c564addc45ce
a 	啊	c=16 d=2.97461 t=1415
yeui 	也是	c=3 d=1.48536 t=648
yewu 	业务	c=2 d=1.22537 t=586
yiaa 	一	c=1 d=1 t=1283
yibj 	一般	c=1 d=1 t=1372
yidm 	一点	c=2 d=1.03354 t=1359
yids 	移动	c=1 d=1 t=529
yidv 	一堆	c=1 d=1 t=1273
yige 	一个	c=8 d=1.79937 t=1518
yihz 	以后	c=4 d=1.6289 t=864
yijx 	一家	c=2 d=1.8825 t=200
yirv 	亿	c=1 d=1 t=796
yisi 	意思	c=6 d=1.12099 t=1010
yivs 	一种	c=1 d=1 t=1364
yiyh 	一样	c=2 d=1.73712 t=665
yiyt 	一月	c=2 d=1.06204 t=994
yjhs 	眼红	c=1 d=1 t=1187
yjia 	严查	c=1 d=1 t=408
yjlw 	眼泪	c=1 d=1 t=1053
yk 	应	c=2 d=1.8825 t=1257
ykck 	营	c=1 d=1 t=33
ykgd 	应该	c=7 d=1.37976 t=1042
ykpj 	硬盘	c=3 d=2.37542 t=502
yrma 	源码	c=1 d=1 t=1427
ys 	用	c=5 d=1.06836 t=1342
ysgo 	用过	c=1 d=1 t=169
yshu 	用户	c=1 d=1 t=1488
yt 	月	c=4 d=1.22679 t=755
yua 	于	c=1 d=1 t=698
yufa 	语法	c=1 d=1 t=1058
yy 	云	c=4 d=1.03348 t=1030
yyyk 	运营	c=1 d=1 t=1377
yyz 	运	c=2 d=1.90484 t=67
yz 	有	c=30 d=3.44398 t=1537
yzdm 	有点	c=1 d=1 t=1024
yzqm 	有钱	c=2 d=1.92774 t=828
z 	在	c=7 d=1.58893 t=1408
za 	咋	c=1 d=1 t=397
zaf 	扎	c=1 d=1 t=867
zd 	再	c=2 d=1.71534 t=422
zdan 	在案	c=1 d=1 t=1238
zdxn 	在校	c=1 d=1 t=1234
zfm 	怎么	c=1 d=1 t=1025
zfme 	怎么	c=11 d=1.37072 t=912
zgjx 	增加	c=1 d=1 t=540
zi 	字	c=1 d=1 t=1524
zidd 	自带	c=1 d=1 t=1255
ziji 	自己	c=6 d=1.22782 t=861
ziv 	子	c=3 d=1.59945 t=1054
ziyz 	自由	c=1 d=1 t=971
zo 	做	c=1 d=1 t=1026
zoye 	作业	c=1 d=1 t=354
zrk 	赚	c=1 d=1 t=787
zsgs 	总共	c=1 d=1 t=611
zu 	组	c=1 d=1 t=610
zv 	最	c=1 d=1 t=73
zvj 	最近	c=1 d=1 t=419
zz 	走	c=1 d=1 t=174
